stock_code,stock_name,date,open,close,high,low,volume,amount
600598,北大荒,2026-06-10,13.88,13.97,14.05,13.85,13366435,0
600598,北大荒,2026-06-11,13.9,14.0,14.15,13.88,14722000,0
600598,北大荒,2026-06-12,13.97,14.3,14.3,13.83,18318017,0
600598,北大荒,2026-06-15,14.27,14.22,14.35,14.08,16253644,0
600598,北大荒,2026-06-16,14.18,14.02,14.19,13.95,14172100,0
600598,北大荒,2026-06-17,14.02,13.94,14.03,13.81,11224955,0
600354,敦煌种业,2026-05-07,6.23,6.22,6.27,6.2,15176200,0
600354,敦煌种业,2026-05-08,6.23,6.3,6.32,6.2,18663818,0
600354,敦煌种业,2026-05-11,6.33,6.33,6.36,6.3,20054520,0
600354,敦煌种业,2026-05-12,6.3,6.18,6.34,6.14,20766342,0
600354,敦煌种业,2026-05-13,6.21,6.19,6.25,6.14,15377496,0
600354,敦煌种业,2026-05-14,6.17,6.07,6.2,6.06,15811185,0
600354,敦煌种业,2026-05-15,6.04,5.88,6.06,5.82,24359327,0
600354,敦煌种业,2026-05-18,5.87,5.86,5.87,5.77,17232842,0
600354,敦煌种业,2026-05-19,5.87,5.88,5.92,5.8,11861400,0
600354,敦煌种业,2026-05-20,5.84,5.7,5.86,5.7,15193910,0
600354,敦煌种业,2026-05-21,5.71,5.52,5.77,5.5,16065100,0
600354,敦煌种业,2026-05-22,5.52,5.63,5.68,5.46,14647900,0
600354,敦煌种业,2026-05-25,5.63,5.61,5.65,5.55,10397605,0
600354,敦煌种业,2026-05-26,5.59,5.53,5.61,5.45,15340924,0
600354,敦煌种业,2026-05-27,5.52,5.47,5.57,5.42,13894849,0
600354,敦煌种业,2026-05-28,5.43,5.47,5.52,5.36,10324700,0
600354,敦煌种业,2026-05-29,5.47,5.49,5.58,5.44,14762699,0
600354,敦煌种业,2026-06-01,5.49,5.67,5.68,5.43,19844620,0
600354,敦煌种业,2026-06-02,5.64,5.5,5.66,5.45,15078720,0
600354,敦煌种业,2026-06-03,5.55,5.51,5.57,5.44,12756449,0
600354,敦煌种业,2026-06-04,5.5,5.4,5.6,5.36,14305005,0
600354,敦煌种业,2026-06-05,5.39,5.42,5.47,5.33,12592183,0
600354,敦煌种业,2026-06-08,5.31,5.32,5.47,5.22,13354820,0
600354,敦煌种业,2026-06-09,5.34,5.28,5.37,5.21,12024835,0
600354,敦煌种业,2026-06-10,5.25,5.24,5.33,5.18,10682200,0
600354,敦煌种业,2026-06-11,5.2,5.3,5.33,5.15,14616622,0
600354,敦煌种业,2026-06-12,5.29,5.39,5.42,5.22,13910853,0
600354,敦煌种业,2026-06-15,5.39,5.33,5.44,5.28,14314900,0
600354,敦煌种业,2026-06-16,5.32,5.22,5.32,5.19,10761683,0
600354,敦煌种业,2026-06-17,5.22,5.07,5.23,5.05,12955100,0
